month,department,category,gl_account,description,cost_2025,cost_2024,monthly_budget
2025-12,IT,Facilities,4006,IT Facilities expense,10138.66,9970.28,10076.77
2025-12,HR,Payroll,4003,HR Payroll expense,30653.66,28694.86,29913.95
2025-12,HR,Software,4004,HR Software expense,2389.62,2694.81,2492.83
2025-12,HR,Travel,4005,HR Travel expense,4969.53,4627.95,4985.66
2025-12,HR,Consulting,4006,HR Consulting expense,7644.73,7392.69,7478.49
2025-12,HR,Facilities,4007,HR Facilities expense,4779.96,5009.07,4985.66
2025-12,Finance,Payroll,4004,Finance Payroll expense,31965.02,30597.38,30738.14
2025-12,Finance,Software,4005,Finance Software expense,6245.46,5710.89,6147.63
2025-12,Finance,Travel,4006,Finance Travel expense,2923.95,2845.38,3073.81
2025-12,Finance,Consulting,4007,Finance Consulting expense,12595.81,11395.25,12295.25
2025-12,Finance,Facilities,4008,Finance Facilities expense,9393.95,9600.11,9221.44
2025-12,Operations,Payroll,4005,Operations Payroll expense,83304.63,84666.72,83337.84
2025-12,Operations,Software,4006,Operations Software expense,9468.23,8580.56,9259.76
2025-12,Operations,Travel,4007,Operations Travel expense,9371.63,8484.12,9259.76
2025-12,Operations,Consulting,4008,Operations Consulting expense,19053.77,16886.56,18519.52
2025-12,Operations,Facilities,4009,Operations Facilities expense,65351.88,67685.15,64818.32
